"spkid","full_name","pdes","name","neo","pha","H","G","diameter","extent","albedo","rot_per","BV","UB","IR","spec_B","spec_T","class","moid"
20001583,"  1583 Antilochus (1950 SA)",1583,Antilochus,N,N,8.58,,108.842,,0.054,15.759,0.752,0.253,,,D,TJN,3.89
20001746,"  1746 Brouwer (1963 RF)",1746,Brouwer,N,N,9.98,,62.524,,0.048,19.724,0.721,0.227,,,D,OMB,2.14
20001749,"  1749 Telamon (1949 SB)",1749,Telamon,N,N,9.49,,64.898,,0.073,11.413,,,,,,TJN,3.6
20001754,"  1754 Cunningham (1935 FE)",1754,Cunningham,N,N,9.93,,79.52,,0.0345,7.7416,0.674,0.256,,,P,OMB,2.29
20001796,"  1796 Riga (1966 KB)",1796,Riga,N,N,9.88,,68.167,,0.044,22.226,0.676,0.289,,Cb,XFCU,OMB,2.2
20001867,"  1867 Deiphobus (1971 EA)",1867,Deiphobus,N,N,8.34,,118.220,,0.060,58.66,0.734,0.232,,,D,TJN,3.89
20001868,"  1868 Thersites (2008 P-L)",1868,Thersites,N,N,9.49,,68.163,,0.055,10.492,,,,,,TJN,3.74
20001902,"  1902 Shaposhnikov (1972 HU)",1902,Shaposhnikov,N,N,9.35,,83.430,,0.040,20.977,0.729,0.254,,,X,OMB,2.11
20002207,"  2207 Antenor (1977 QH1)",2207,Antenor,N,N,8.94,,97.658,,0.051,7.9645,0.733,0.232,,,D,TJN,4.12
20002223,"  2223 Sarpedon (1977 TL3)",2223,Sarpedon,N,N,9.12,,77.480,,0.051,22.741,0.778,0.244,,,DU,TJN,4.17
20002241,"  2241 Alcathous (1979 WM)",2241,Alcathous,N,N,8.53,,113.682,,0.048,7.689,0.728,0.226,,,D,TJN,3.87
20002260,"  2260 Neoptolemus (1975 WM1)",2260,Neoptolemus,N,N,9.39,,76.435,,0.057,8.18,,,,,DTU:,TJN,4
20002357,"  2357 Phereclos (1981 AC)",2357,Phereclos,N,N,8.99,,94.625,,0.052,14.449,0.719,0.237,,,D,TJN,3.97
20002363,"  2363 Cebriones (1977 TJ3)",2363,Cebriones,N,N,9.01,,95.976,,0.044,20.099,0.753,0.251,,,D,TJN,4.1
20002456,"  2456 Palamedes (1966 BA1)",2456,Palamedes,N,N,9.27,,65.916,,0.071,7.25,,,,,,TJN,3.8
20002674,"  2674 Pandarus (1982 BC3)",2674,Pandarus,N,N,9.13,,74.267,,0.067,8.48,0.758,0.252,,,D,TJN,3.83
20002797,"  2797 Teucer (1981 LK)",2797,Teucer,N,N,8.82,,89.430,,0.073,10.145,,,,,,TJN,3.71
20002893,"  2893 Peiroos (1975 QD)",2893,Peiroos,N,N,9.00,,86.884,,0.048,8.945,0.730,0.252,,,D,TJN,3.73
20002920,"  2920 Automedon (1981 JR)",2920,Automedon,N,N,8.86,,88.574,,0.068,10.212,,,,,,TJN,3.99
20003063,"  3063 Makhaon (1983 PV)",3063,Makhaon,N,N,8.56,,111.655,,0.056,8.637,,,,,,TJN,3.93
20003317,"  3317 Paris (1984 KF)",3317,Paris,N,N,8.41,,118.790,,0.055,7.0812,,,,T,,TJN,3.57
20003451,"  3451 Mentor (1984 HA1)",3451,Mentor,N,N,8.46,,126.288,,0.044,7.702,,,,X,,TJN,3.83
20003540,"  3540 Protesilaos (1973 UF5)",3540,Protesilaos,N,N,9.39,,70.225,,0.062,8.945,,,,,,TJN,3.74
20003548,"  3548 Eurybates (1973 SO)",3548,Eurybates,N,N,9.81,,63.885,,0.052,8.711,,,,,,TJN,3.76
20003564,"  3564 Talthybius (1985 TC1)",3564,Talthybius,N,N,9.47,,73.730,,0.062,40.59,,,,,,TJN,3.98
20003596,"  3596 Meriones (1985 VO)",3596,Meriones,N,N,9.29,,87.380,,0.048,12.96,,,,,,TJN,3.88
20003708,"  3708 Socus (1974 FV1)",3708,Socus,N,N,9.30,,75.661,,0.059,6.553,,,,,,TJN,3.4
20003709,"  3709 Polypoites (1985 TL3)",3709,Polypoites,N,N,9.21,,65.297,,0.087,10.039,,,,,,TJN,3.97
20003793,"  3793 Leonteus (1985 TE3)",3793,Leonteus,N,N,8.80,,112.046,,0.042,5.621,,,,,,TJN,3.85
20004035,"  4035 Thestor (1986 WD)",4035,Thestor,N,N,9.56,,68.733,,0.054,13.467,,,,,,TJN,3.99
20004060,"  4060 Deipylos (1987 YT1)",4060,Deipylos,N,N,9.41,,84.043,,0.043,9.298,,,,,,TJN,3.45
20004063,"  4063 Euforbo (1989 CG2)",4063,Euforbo,N,N,8.72,,95.619,,0.070,8.846,,,,,,TJN,3.61
20004068,"  4068 Menestheus (1973 SW)",4068,Menestheus,N,N,9.64,,67.625,,0.061,14.301,,,,,,TJN,3.78
20004086,"  4086 Podalirius (1985 VK2)",4086,Podalirius,N,N,9.31,,85.495,,0.050,10.43,,,,,,TJN,3.64
20004348,"  4348 Poulydamas (1988 RU)",4348,Poulydamas,N,N,9.68,,82.032,,0.033,9.908,,,,,,TJN,3.72
20004489,"  4489 Dracius (1988 AK)",4489,Dracius,N,N,9.07,,76.595,,0.069,12.582,,,,,,TJN,3.89
20004543,"  4543 Phoinix (1989 CQ1)",4543,Phoinix,N,N,9.78,,63.836,,0.057,38.866,,,,,,TJN,3.7
20004709,"  4709 Ennomos (1988 TU2)",4709,Ennomos,N,N,8.62,,91.433,,0.077,12.275,,,,,,TJN,4.21
20004715,"  4715 Medesicaste (1989 TS1)",4715,Medesicaste,N,N,9.82,,62.097,,0.060,8.8129,,,,,,TJN,3.85
20004833,"  4833 Meges (1989 AL2)",4833,Meges,N,N,9.07,,80.165,,0.076,14.25,,,,,,TJN,3.93
20004834,"  4834 Thoas (1989 AM2)",4834,Thoas,N,N,9.18,,72.331,,0.085,18.192,,,,,,TJN,3.51
20004836,"  4836 Medon (1989 CK1)",4836,Medon,N,N,9.57,,63.277,,0.070,9.818,,,,,,TJN,3.68
20004867,"  4867 Polites (1989 SZ)",4867,Polites,N,N,9.92,,57.251,,0.071,11.235,,,,,,TJN,4.12
20004902,"  4902 Thessandrus (1989 AN2)",4902,Thessandrus,N,N,9.85,,51.263,,0.081,738,,,,,,TJN,4.01
20005027,"  5027 Androgeos (1988 BX1)",5027,Androgeos,N,N,9.78,,59.786,,0.071,11.376,,,,,,TJN,3.97
20005130,"  5130 Ilioneus (1989 SC7)",5130,Ilioneus,N,N,9.81,,60.711,,0.069,14.768,,,,,,TJN,4.16
20005144,"  5144 Achates (1991 XX)",5144,Achates,N,N,9.19,,80.958,,0.074,5.958,,,,,,TJN,2.76
20005254,"  5254 Ulysses (1986 VG1)",5254,Ulysses,N,N,9.21,,76.147,,0.070,28.72,,,,,,TJN,3.61
20005264,"  5264 Telephus (1991 KC)",5264,Telephus,N,N,9.49,,68.472,,0.072,9.525,,,,,,TJN,3.64
20005283,"  5283 Pyrrhus (1989 BW)",5283,Pyrrhus,N,N,9.81,,48.356,,0.100,7.326,,,,,,TJN,3.43
20005648,"  5648 Axius (1990 VU1)",5648,Axius,N,N,9.81,,59.295,,0.073,37.56,,,,,,TJN,3.38
20006090,"  6090 Aulis (1989 DJ)",6090,Aulis,N,N,9.55,,59.568,,0.087,18.476,,,,,,TJN,4.07
20007119,"  7119 Hiera (1989 AV2)",7119,Hiera,N,N,9.80,,59.150,,0.067,400,,,,,,TJN,3.65
20007352,"  7352 Hypsenor (1994 CO)",7352,Hypsenor,N,N,9.99,,47.731,,0.093,648,,,,,,TJN,3.93
20007641,"  7641 Cteatus (1986 TT6)",7641,Cteatus,N,N,9.49,,71.839,,0.065,27.77,,,,,,TJN,4
20009799,"  9799 Thronium (1996 RJ)",9799,Thronium,N,N,9.65,,68.033,,0.060,21.52,,,,,,TJN,4.04
20011395," 11395 Iphinous (1998 XN77)",11395,Iphinous,N,N,9.95,,68.977,,0.045,13.704,,,,,,TJN,3.93
20012444," 12444 Prothoon (1996 GE19)",12444,Prothoon,N,N,9.93,,63.835,,0.052,15.637,,,,,,TJN,3.95
20015436," 15436 Dexius (1998 VU30)",15436,Dexius,N,N,9.12,,87.646,,0.053,8.97,,,,,,TJN,3.99
20015440," 15440 Eioneus (1998 WX4)",15440,Eioneus,N,N,9.62,,62.519,,0.072,21.43,,,,,,TJN,4.25
20015789," 15789 (1993 SC)",15789,,N,N,7.09,,328,,0.022,,,,,,,TNO,31.4
20016070," 16070 Charops (1999 RB101)",16070,Charops,N,N,9.79,,63.191,,0.058,20.24,,,,,,TJN,3.49
20016974," 16974 Iphthime (1998 WR21)",16974,Iphthime,N,N,9.94,,57.341,,0.065,78.9,,,,,,TJN,3.84
20020000," 20000 Varuna (2000 WR106)",20000,Varuna,N,N,3.79,,900,,0.07,6.3436,,,,,,TNO,39.9
20034746," 34746 Thoon (2001 QE91)",34746,Thoon,N,N,9.87,,61.684,,0.061,19.633,,,,,,TJN,3.95
20038050," 38050 Bias (1998 VR38)",38050,Bias,N,N,9.89,,61.603,,0.056,18.854,,,,,,TJN,3.81
20042355," 42355 Typhon (2002 CR46)",42355,Typhon,N,N,7.63,,192.000,,0.050,5.,,,,,,TNO,16.5
20127546,"127546 (2002 XU93)",127546,,N,N,8.06,,170.000,,0.040,,,,,,,TNO,20.1
20762135,"762135 (2010 WG9)",762135,,N,N,8.28,,112.700,,0.074,263.8,,,,,,TNO,18.3
